DocumentID,Words (split by space),disgust
train1,mortar assault leaves at least dead,0.0135
train2,goal delight for sheva,0
train3,nigeria hostage feared dead is freed,0
train4,bombers kill shoppers,0.1368
train5,vegetables not fruit slow brain decline,0
train6,pm havana deal a good experiment,0
train7,kate is marrying doherty,0
train8,nasa revisiting life on mars question,0
train9,happy birthday ipod,0
train10,alonso would be happy to retire with three titles,0
train11,madonna s new tot happy at home in london,0
train12,nicole kidman asks dad to help stop husband s drinking,0
train13,united finds good connection in win,0
train14,runway making good without making nice,0.0968
train15,we were arrogant and stupid over iraq says us diplomat,0.122
train16,bad reasons to be good,0.0545
train17,madonna s new baby s daddy didn t realize adoption was for good,0
train18,women in their s are perfectly good mothers,0.1557
train19,we re a pretty kind bully,0
train20,moderate drinking reduces men s heart attack risk,0.0374
train21,tom cruise and katie holmes set wedding date,0
train22,kidnapped ap photographer freed in gaza,0.1244
train23,bush insists troops stay in iraq predicts midterm victory,0.2938
train24,hurricane paul weakens to tropical storm,0
train25,uk announces immigration restrictions,0.2247
train26,three found alive from missing russian ship report,0
train27,poison pill to swallow hawks hurting after loss to vikes,0.1404
train28,injured marathon winner leaves hospital,0.0917
train29,hacker unlocks apple music download protection,0.1129
train30,spanish journalist seized in gaza,0.204
train31,sudan urges un to replace its special envoy,0.1765
train32,resolution approved for international games,0
train33,pair of satellites will document sun in d,0
train34,martian life could have evaded detection by viking landers,0
train35,the sweet tune of an anniversary,0
train36,did viking probes miss life on mars,0
train37,diplomat acknowledges us arrogance in iraq,0.2993
train38,more human remains found at ground zero,0.1358
train39,how to prevent iraq from getting even worse,0.2294
train40,tensions as hungary marks uprising,0
train41,stanford study warns of internet addiction,0.2708
train42,no evidence of ice reserves on the moon,0
train43,parachutist dies at bridge jump festival,0.0432
train44,us troops killed in october in iraq,0.1921
train45,chefs not counting calories study finds,0
train46,deaths linked to flu vaccine,0
train47,perfect lives lose their focus,0
train48,bread heavy diet linked to kidney cancer,0.0397
train49,beating poverty in a small way,0
train50,israel insists on lebanon overflights,0.2897
train51,britain to restrict immigrants from new eu members,0.3077
train52,confusion reigns in the expanding digital world,0
train53,game on london exhibition celebrates the history of video games,0
train54,making peace from victory over poverty,0
train55,marine killed in fighting west of baghdad,0
train56,scientists create first cloaking device,0
train57,amateur rocket scientists reach for space,0
train58,confusion reigns in the expanding digital world,0
train59,deaths linked to flu vaccine,0.0474
train60,israel admits using phosphorous shells in lebanon,0.2582
train61,th person dies after receiving flu shot,0
train62,police and shoppers targeted in growing iraq violence,0.1801
train63,scientists discover miracle in the depths,0
train64,doctors seeing patients who think they re internet addicted,0
train65,china launches two satellites into orbit,0
train66,vegetables may boost brain power in older adults,0
train67,hurricane paul nears category status,0
train68,russian ship sinks member crew missing,0
train69,iran s president urges higher birth rate,0.0625
train70,apple set for massive market gains,0
train71,tumor types may explain survival rates for cancer,0
train72,routine mission turns into hunt for missing comrade,0
train73,bad weather slows s korean search for russian ship,0.2424
train74,tailors and housewives busy as muslims celebrate eid,0
train75,active peace brings the promise of development,0
train76,abbas condemns israeli massacre in northern gaza strip,0.2792
train77,bangladesh ferry sinks dead,0
train78,bucs find a new kick in life,0
train79,google to unveil election mashup,0
train80,police warn of child exploitation online,0.3062
train81,breast cancer awareness is important,0
train82,hungary police tackle violent protestors,0
train83,three drivers had reason to be proud in brazil,0
train84,celebrities protest malibu gas facility,0
train85,presto he s batman then magic man,0
train86,heavy use of mobile phones can make men infertile scientists say,0
train87,russian ship sinks in pacific,0
train88,china successfully launches two satellites,0
train89,prestige has magic touch,0
train90,lies damned lies and divorce,0.2797
train91,manning inspires giants to victory in dallas,0
train92,riot warning for france suburbs,0.1677
train93,full recovery expected for marathon winner,0
train94,sony apologises for global battery recall,0
train95,questions on credit card safety,0
train96,budapest calm after night of violent protests,0.0225
train97,vegetables may boost brain power in older adults,0
train98,report criticises us press freedoms,0.2353
train99,french suburb riots could resume,0
train100,photographer kidnapping condemned,0.3459
train101,photographer kidnapped in gaza,0.2445
train102,baseball rogers enjoys his muddied streak,0
train103,cultural revolutionary the ipod is five,0
train104,life on mars maybe we missed it,0.0444
train105,three found alive from missing russian ship report,0
train106,moderate drinking reduces men s heart attack risk,0
train107,the sweet tune of an anniversary,0
train108,inconvenient truths,0.0968
