文本编号	词列表（以空格分隔）	公众"感动"的概率
训练文本1	消防员 冲进 火场 救出 男童	1
训练文本2	公务员 患 癌症 保持 在岗	0.9
训练文本3	消防员 多次 冲进 火场 救人 不幸 身亡	0.5
训练文本4	老人 成功 进行 免费 白内障 手术	0.5
训练文本5	海豚 误 吞 排球 后 手术 成功 取出	0.4
训练文本6	6旬 老人 跳楼 自杀 身亡	0.1
训练文本7	男子 跳楼 自杀 身亡	0.02
训练文本8	疑犯 枪杀 出租车 司机	0
训练文本9	男子 枪杀 妻子 后 自杀	0
训练文本10	医师 误 把 肾脏 当 肝脏 致人 身亡	0
测试文本1	癌症 老人 成功 手术	?
测试文本2	男子 枪杀 司机 后 喝药 自杀	?
测试文本3	癌症 医师 保持 手术 清醒	?
测试文本4	男子 跳楼 自杀	?
测试文本5	男子 枪杀 老人 后 自杀	?
测试文本6	消防员 冲进 火场 将 男童 救出	?
测试文本7	出租车 司机 免费 搭载 老人	?
测试文本8	男子 误 杀 弟媳 后 自杀 身亡	?
测试文本9	医师 误 把 患者 肝脏 捅破 致人 身亡	?
测试文本10	6旬 老人 火场 救人 不幸 身亡	?
